subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
PATHFit04 ,Recreational Activities,BTVTED,CT,2,2,2,2,0,Minor,Gymnasium,PATHFit03,Activity
GEC04,The Contemporary World,BTVTED,CT,3,1,3,3,0,Minor,Lecture Room,,Lecture
RES01,Technology Research 1 (Methods of Research),BTVTED,CT,3,1,3,3,0,Research,Lecture Room,,Lecture
TIC04,Teaching Common Competencies in Industrial Arts,BTVTED,CT,3,1,3,3,0,Minor,Lecture Room,TIC01,Lecture
TIC06,Teaching Common Competencies in Information and Communication Technology,BTVTED,CT,3,1,3,3,0,Minor,Lecture Room,TIC02,Lecture
PED04,Foundation of Special and Inclusive Education,BTVTED,CT,3,1,3,3,0,Minor,Lecture Room,,Lecture
PED13,The Andragogy of Learning including Principles of Trainers Methodology 1,BTVTED,CT,3,1,3,3,0,Minor,Lecture Room,,Lecture
CVT08,Strength of Materials,BTVTED,CT,3,1,2,1,1,Major,CT Laboratory,,Lecture+Laboratory
CVT09,Construction Surveying,BTVTED,CT,3,1,3,2,1,Major,CT Laboratory,,Lecture+Laboratory
CVT10,Construction Estimates,BTVTED,CT,3,1,2,1,1,Major,CT Laboratory,,Lecture+Laboratory
CVT11,Analysis of Building Structure,BTVTED,CT,3,1,2,1,1,Major,CT Laboratory,,Lecture+Laboratory
GEC07,Art Appreciation,BTVTED,CT,3,2,3,3,0,Minor,Lecture Room,,Lecture
RES02,Technology Research 2 (Undergraduate Thesis/Research Paper/Research Project),BTVTED,CT,3,2,3,3,0,Research,Lecture Room,RES01,Lecture
TIC07,Teaching Common Competencies in Agriculture and Fishery Arts,BTVTED,CT,3,2,3,3,0,Minor,Lecture Room,TIC03,Lecture
TIC05,Teaching Common Competencies in Home Economics,BTVTED,CT,3,2,3,3,0,Minor,Lecture Room,,Lecture
ENT01,Entrepreneurship,BTVTED,CT,3,2,3,3,0,Minor,Lecture Room,,Lecture
CVT12,Construction Painting,BTVTED,CT,3,2,3,2,1,Major,CT Laboratory,,Lecture+Laboratory
CVT13,Construction Management,BTVTED,CT,3,2,3,2,1,Major,CT Laboratory,,Lecture+Laboratory
CVT14,Soil and Construction Materials Testing,BTVTED,CT,3,2,3,2,1,Major,CT Laboratory,,Lecture+Laboratory
PED14,Work-based Learning with Emphasis on Trainers Methodology,BTVTED,CT,3,2,3,3,0,Minor,Lecture Room,,Lecture
AMC01,Supervised Industrial Training (240 Hours),BTVTED,CT,4,1,3,0,0,OJT,,,OJT
FSO01,Field Study 1,BTVTED,CT,4,1,3,3,0,Minor,Lecture Room,,Lecture
FSO02,Field Study 2,BTVTED,CT,4,1,3,3,0,Minor,Lecture Room,,Lecture
PED11,Teaching Internship (480 hours),BTVTED,CT,4,2,6,0,0,OJT,,,OJT
TCC01,Integrative Course,BTVTED,CT,4,2,3,3,0,Minor,Lecture Room,,Lecture
