subjectCode,subjectName,programCode,majorCode,yearLevel,semester,units,lecHours,labHours,subjectType,requiredRoomType,prerequisite,meetingType
PED10a,Building and Enhancing New Literacies across the Curriculum with Emphasis on the 21st Century Skills,BTVTED,ELX,2,1,3,3,0,Minor,Lecture Room,,Lecture
PED06,Assessment in Learning 1,BTVTED,ELX,2,1,3,3,0,Minor,Lecture Room,,Lecture
HEO01,Home Economics Literacy,BTVTED,ELX,2,1,3,3,0,Minor,Lecture Room,,Lecture
ELX01,Occupational Health and Safety Practices,BTVTED,ELX,2,1,1,1,0,Minor,Lecture Room,,Lecture
ELX02,Basic Electronics,BTVTED,ELX,2,1,3,2,1,Major,ELT Laboratory,,Lecture+Laboratory
ELX03,Digital Electronics,BTVTED,ELX,2,1,3,2,1,Major,ELT Laboratory,,Lecture+Laboratory
ELX04,Power Electronics,BTVTED,ELX,2,1,3,2,1,Major,ELT Laboratory,,Lecture+Laboratory
PATHFit03,Rhythmic Activities and/or Sports,BTVTED,ELX,2,1,2,2,0,Minor,Gymnasium,,Activity
PED03a,The Teacher and the Community School Culture and Organizational Leadership with Focus on the Philippine TVET System,BTVTED,ELX,2,2,3,3,0,Minor,Lecture Room,,Lecture
PED15,Technology for Teaching and Learning 2 (TLE),BTVTED,ELX,2,2,3,3,0,Minor,Lecture Room,,Lecture
PED12,Curriculum Development and Evaluation with Emphasis on Trainers Methodology 2,BTVTED,ELX,2,2,3,3,0,Minor,Lecture Room,,Lecture
PED07a,Assessment in Learning 2 with Focus on Trainers Methodology 1 and 2,BTVTED,ELX,2,2,3,3,0,Minor,Lecture Room,,Lecture
TIC02,Teaching ICT as an Exploratory Course,BTVTED,ELX,2,2,3,3,0,Minor,Lecture Room,,Lecture
GEC04,The Contemporary World,BTVTED,ELX,2,2,3,3,0,Minor,Lecture Room,,Lecture
GEC07,Art Appreciation,BTVTED,ELX,2,2,3,3,0,Minor,Lecture Room,,Lecture
ELX07,Cellular Phone Repair and Maintenance,BTVTED,ELX,2,2,4,2,2,Major,ELT Laboratory,,Lecture+Laboratory
PATHFit04,Recreational Activities,BTVTED,ELX,2,2,2,2,0,Minor,Gymnasium,,Activity
RES01,Technology Research 1 (Methods of Research),BTVTED,ELX,3,1,3,3,0,Research,Lecture Room,,Lecture
TIC04,Teaching Common Competencies in Industrial Arts,BTVTED,ELX,3,1,3,3,0,Minor,Lecture Room,,Lecture
TIC06,Teaching Common Competencies in Information and Communication Technology,BTVTED,ELX,3,1,3,3,0,Minor,Lecture Room,,Lecture
PED04,Foundation of Special and Inclusive Education,BTVTED,ELX,3,1,3,3,0,Minor,Lecture Room,,Lecture
PED13,The Andragogy of Learning including Principles of Trainers Methodology 1,BTVTED,ELX,3,1,3,3,0,Minor,Lecture Room,,Lecture
ELX05,Electronically-Controlled and Domestic Household Appliances Repair and Maintenance,BTVTED,ELX,3,1,3,2,1,Major,ELT Laboratory,,Lecture+Laboratory
ELX06,Audio-system Repair and Maintenance,BTVTED,ELX,3,1,4,2,2,Major,ELT Laboratory,,Lecture+Laboratory
ENT01,Entrepreneurship,BTVTED,ELX,3,1,3,3,0,Minor,Lecture Room,,Lecture
RES02,Technology Research 2 (Undergraduate Thesis/Research Paper/Research Project),BTVTED,ELX,3,2,3,3,0,Research,Lecture Room,,Lecture
TIC07,Teaching Common Competencies in Agriculture and Fishery Arts,BTVTED,ELX,3,2,3,3,0,Minor,Lecture Room,,Lecture
TIC05,Teaching Common Competencies in Home Economics,BTVTED,ELX,3,2,3,3,0,Minor,Lecture Room,,Lecture
ELX08,Video System Repair and Maintenance,BTVTED,ELX,3,2,4,2,2,Major,ELT Laboratory,,Lecture+Laboratory
ELX09,Instrumentation and Process Control,BTVTED,ELX,3,2,4,2,2,Major,ELT Laboratory,,Lecture+Laboratory
ELX10,Instrumentation Troubleshooting and Maintenance,BTVTED,ELX,3,2,3,2,1,Major,ELT Laboratory,,Lecture+Laboratory
ELX11,Industrial Automation and Control Electronics,BTVTED,ELX,3,2,4,2,2,Major,ELT Laboratory,,Lecture+Laboratory
PED14,Work-based Learning with Emphasis on Trainers Methodology,BTVTED,ELX,3,2,3,3,0,Minor,Lecture Room,,Lecture
AMC01,Supervised Industrial Training (240 Hours),BTVTED,ELX,4,1,3,0,0,OJT,,,OJT
FSO01,Field Study 1,BTVTED,ELX,4,1,3,3,0,Minor,Lecture Room,,Lecture
FSO02,Field Study 2,BTVTED,ELX,4,1,3,3,0,Minor,Lecture Room,,Lecture
PED11,Teaching Internship (480 hours),BTVTED,ELX,4,2,6,0,0,OJT,,,OJT
TCC01,Integrative Course,BTVTED,ELX,4,2,3,3,0,Minor,Lecture Room,,Lecture
